11/11/2024 19:57:31 - 0000:	 - train_loss: 0.998939:	 - test_loss: 0.998937:	 mIoU 0.0007
11/11/2024 19:58:02 - 0001:	 - train_loss: 0.998719:	 - test_loss: 0.998745:	 mIoU 0.0640
11/11/2024 19:58:32 - 0002:	 - train_loss: 0.998419:	 - test_loss: 0.998429:	 mIoU 0.0803
11/11/2024 19:59:02 - 0003:	 - train_loss: 0.998124:	 - test_loss: 0.998176:	 mIoU 0.1177
11/11/2024 19:59:48 - 0004:	 - train_loss: 0.997979:	 - test_loss: 0.998030:	 mIoU 0.1478
11/11/2024 20:00:39 - 0005:	 - train_loss: 0.997698:	 - test_loss: 0.997817:	 mIoU 0.1857
25/11/2024 19:06:13 - 0000:	 - train_loss: 0.998857:	 - test_loss: 0.998801:	 mIoU 0.0098
25/11/2024 19:06:30 - 0001:	 - train_loss: 0.998403:	 - test_loss: 0.998384:	 mIoU 0.0105
25/11/2024 19:06:46 - 0002:	 - train_loss: 0.997829:	 - test_loss: 0.997807:	 mIoU 0.0626
26/11/2024 15:14:06 - 0000:	 - train_loss: 0.997889:	 - test_loss: 0.998033:	 mIoU 0.0780
26/11/2024 15:14:23 - 0001:	 - train_loss: 0.996387:	 - test_loss: 0.996781:	 mIoU 0.1161
26/11/2024 15:14:39 - 0002:	 - train_loss: 0.994493:	 - test_loss: 0.994900:	 mIoU 0.1352
26/11/2024 15:14:56 - 0003:	 - train_loss: 0.991910:	 - test_loss: 0.992925:	 mIoU 0.1788
26/11/2024 15:15:13 - 0004:	 - train_loss: 0.988373:	 - test_loss: 0.989815:	 mIoU 0.1851
26/11/2024 15:15:45 - 0006:	 - train_loss: 0.976691:	 - test_loss: 0.981387:	 mIoU 0.2494
